"","Date","Year","Month","Brand","Vehicle_Type_Group","Vehicle_Type","Model_Year","Fuel_Type","Gear","CCM","Horse_Power","Color","Body_Type","Seller","Seller_Status","Kilometers","Price"
"8038",2020-03-24,2020,"3","Dacia","Sandero","1.4 Ambiance",2011,"Gasoline","Manual","1301-1600 cc","100 HP and below","Silver Gray","Hatchback 5 Doors","Galery","2nd Hand",194000,42000
"8039",2020-06-13,2020,"6","Fiat","Albea","Sole 1.4 Fire Dynamic",2009,"Gasoline","Manual","1301-1600 cc","100 HP and below","Gray","Sedan","Galery","2nd Hand",234000,42000
"8040",2020-03-24,2020,"3","Ford","Focus","1.6 Ghia",2000,"Gasoline","Manual","1301-1600 cc","100 HP and below","Burgundy","Sedan","Owner","2nd Hand",268000,42000
"8041",2020-05-18,2020,"5","Hyundai","Elantra","1.6 GLS",2004,"Gasoline","Manual","1301-1600 cc","101-125 HP","Silver Gray","Sedan","Galery","2nd Hand",168,42000
"8042",2020-05-16,2020,"5","Hyundai","Accent","1.3",2004,"Gasoline","Manual","1300 cc and below","100 HP and below","Gray","Sedan","Owner","2nd Hand",225000,42000
"8043",2020-05-06,2020,"5","Hyundai","Getz","1.5 CRDi VGT",2005,"Diesel","Manual","1301-1600 cc","100 HP and below","Silver Gray","Hatchback 5 Doors","Galery","2nd Hand",217000,42000
"8044",2020-04-15,2020,"4","Hyundai","I20","1.2 D-CVVT",2014,"Gasoline","Manual","1301-1600 cc","101-125 HP","White","Hatchback 5 Doors","Owner","2nd Hand",193000,42000
"8045",2020-06-12,2020,"6","Opel","Astra","1.6 GLS",1998,"Gasoline","Manual","1301-1600 cc","101-125 HP","Silver Gray","Sedan","Owner","2nd Hand",156000,42000
"8046",2020-04-22,2020,"4","Skoda","Fabia","1.4 Classic",2003,"Gasoline","Manual","1301-1600 cc","100 HP and below","Silver Gray","Hatchback 5 Doors","Galery","2nd Hand",150000,42000
"8047",2020-05-29,2020,"5","Mazda","626","2.0",1998,"Gasoline","Automatic","1801-2000 cc","101-125 HP","Smoked","Sedan","Galery","2nd Hand",200000,41950
"8048",2020-04-18,2020,"4","Hyundai","Getz","1.5 CRDi VGT",2005,"Diesel","Manual","1301-1600 cc","Don't Know","Burgundy","Hatchback 5 Doors","Galery","2nd Hand",169000,41900
"8049",2020-04-18,2020,"4","Hyundai","Accent Era","1.5 CRDi-VGT Team",2007,"Diesel","Manual","1301-1600 cc","Don't Know","Burgundy","Sedan","Galery","2nd Hand",218000,41900
"8050",2020-06-09,2020,"6","Renault","Symbol","1.2 Authentique",2012,"Gasoline","Manual","1300 cc and below","100 HP and below","Silver Gray","Sedan","Galery","2nd Hand",191000,41900
"8051",2020-06-01,2020,"6","Fiat","Linea","1.3 Multijet Active Plus",2011,"Diesel","Manual","1301-1600 cc","100 HP and below","White","Sedan","Owner","2nd Hand",182000,41800
"8052",2020-06-14,2020,"6","Chevrolet","Aveo","1.2 LS",2012,"Gasoline","Manual","1300 cc and below","Don't Know","White","Hatchback 5 Doors","Galery","2nd Hand",320000,41750
"8053",2020-04-23,2020,"4","Citroen","C5","2.0 HDI",2004,"Diesel","Manual","1801-2000 cc","101-125 HP","Dark Blue","Station Wagon","Galery","2nd Hand",285000,41750
"8054",2020-04-18,2020,"4","Fiat","Albea","Sole 1.3 Multijet Dynamic",2009,"Diesel","Manual","1300 cc and below","Don't Know","White","Sedan","Galery","2nd Hand",209000,41750
"8055",2020-05-11,2020,"5","Fiat","Albea","Other",2011,"Diesel","Manual","1300 cc and below","100 HP and below","Silver Gray","Sedan","Galery","2nd Hand",174000,41750
"8056",2020-05-22,2020,"5","Honda","Civic","1.6 i ES",1998,"Gasoline","Manual","1301-1600 cc","101-125 HP","Silver Gray","Sedan","Galery","2nd Hand",393000,41750
"8057",2020-06-09,2020,"6","Hyundai","Accent","1.4",2008,"Gasoline","Manual","1601-1800 cc","100 HP and below","Silver","Sedan","Galery","2nd Hand",154000,41750
"8058",2020-04-18,2020,"4","Hyundai","Accent Era","1.5 CRDi-VGT Team",2011,"Diesel","Manual","1301-1600 cc","Don't Know","Silver Gray","Sedan","Galery","2nd Hand",313000,41750
"8059",2020-04-18,2020,"4","BMW","3 Series","320i",1997,"Gasoline","Manual","1801-2000 cc","Don't Know","Smoked","Sedan","Galery","2nd Hand",270000,41500
"8060",2020-05-09,2020,"5","Chevrolet","Aveo","1.2 S",2009,"Electricity","Manual","1301-1600 cc","100 HP and below","Smoked","Sedan","Owner","2nd Hand",101000,41500
"8061",2020-04-18,2020,"4","Dacia","Logan","1.5 dCi MCV Laureate",2009,"Diesel","Manual","1301-1600 cc","Don't Know","Gray","Station Wagon","Galery","2nd Hand",205000,41500
"8062",2020-04-18,2020,"4","Fiat","Punto","Grande 1.3 Multijet 1.3 Multijet",2011,"Diesel","Manual","1300 cc and below","Don't Know","Silver Gray","Hatchback 5 Doors","Galery","2nd Hand",248000,41500
"8063",2020-04-18,2020,"4","Honda","Civic","1.6 i ES",2000,"Gasoline","Manual","1301-1600 cc","Don't Know","Champagne","Sedan","Galery","2nd Hand",330000,41500
"8064",2020-04-18,2020,"4","Hyundai","Accent Era","1.5 CRDi-VGT Start",2007,"Diesel","Manual","1301-1600 cc","Don't Know","Black","Sedan","Galery","2nd Hand",250000,41500
"8065",2020-06-11,2020,"6","Hyundai","Accent Era","1.4 Team",2010,"Gasoline","Manual","1301-1600 cc","100 HP and below","Silver Gray","Sedan","Galery","2nd Hand",225000,41500
"8066",2020-04-18,2020,"4","Opel","Astra","1.6 Elegance",2004,"Gasoline","Automatic","1301-1600 cc","Don't Know","Gray","Hatchback 5 Doors","Galery","2nd Hand",352000,41500
"8067",2020-04-17,2020,"4","Opel","Corsa","Other",2007,"Diesel","Manual","1300 cc and below","Don't Know","Silver Gray","Hatchback 5 Doors","Galery","2nd Hand",232000,41500
"8068",2020-05-18,2020,"5","Peugeot","206","1.4 Color Line",2004,"Gasoline","Automatic","1301-1600 cc","100 HP and below","Black","Hatchback 5 Doors","Owner","2nd Hand",147000,41500
"8069",2020-04-18,2020,"4","Renault","Megane","Other",2001,"Gasoline","Manual","1300 cc and below","Don't Know","White","Sedan","Galery","2nd Hand",271000,41500
"8070",2020-04-18,2020,"4","Renault","Megane","Other",2006,"Diesel","Manual","1301-1600 cc","Don't Know","Champagne","Sedan","Galery","2nd Hand",240000,41500
"8071",2020-06-16,2020,"6","Renault","Clio","1.4 Alize",2006,"Gasoline","Manual","1301-1600 cc","100 HP and below","White","Sedan","Owner","2nd Hand",150000,41500
"8072",2020-05-18,2020,"5","Renault","Symbol","1.5 DCi Authentique",2009,"Diesel","Manual","1301-1600 cc","100 HP and below","Gray","Sedan","Owner","2nd Hand",223000,41500
"8073",2020-04-23,2020,"4","Ford","Galaxy","2.0 Trend",1996,"Electricity","Manual","1801-2000 cc","126-150 HP","Burgundy","Other","Galery","2nd Hand",395000,41250
"8074",2020-06-16,2020,"6","Ford","Fiesta","1.4 TDCi Comfort",2006,"Diesel","Manual","1301-1600 cc","100 HP and below","Gray","Hatchback 5 Doors","Owner","2nd Hand",150000,41250
"8075",2020-05-15,2020,"5","Peugeot","206","1.4 Feline",2006,"Gasoline","Manual","1301-1600 cc","100 HP and below","Red","Hatchback 5 Doors","Owner","2nd Hand",184000,41250
"8076",2020-04-18,2020,"4","Fiat","Punto","Grande 1.3 Multijet Dynamic",2006,"Diesel","Manual","1300 cc and below","Don't Know","Blue","Hatchback 5 Doors","Galery","2nd Hand",265000,41000
